                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.8244,                 1.9248,                 1.8354,                0.60042,                0.60303,                0.49081,                0.27526,                0.79344,                 6.9714,                0.95972,             0.00092872,             0.00092872,             0.00092872
                     75,                 1.7685,                 1.8489,                 1.7228,                0.53926,                0.53619,                0.45309,                0.25027,                0.79751,                 5.2478,                0.96588,             0.00092773,             0.00092773,             0.00092773
                     76,                 1.7962,                 1.9485,                 1.8156,                0.57869,                0.55035,                0.46676,                 0.2642,                0.79188,                  7.906,                0.95155,             0.00092674,             0.00092674,             0.00092674
                     77,                 1.6925,                 2.5884,                 1.7401,                0.60446,                0.57379,                0.48267,                0.26289,                0.81154,                 6.0247,                0.95355,             0.00092575,             0.00092575,             0.00092575
                     78,                 1.7757,                 1.9341,                 1.7475,                0.61481,                0.66167,                0.52775,                0.26183,                0.76924,                 8.1641,                0.91792,             0.00092476,             0.00092476,             0.00092476
                     79,                  1.653,                 1.7181,                 1.6701,                0.73785,                0.63803,                0.56822,                0.27663,                0.76435,                 11.887,                0.93316,             0.00092377,             0.00092377,             0.00092377
                     80,                 1.7273,                 1.8814,                 1.7727,                0.56557,                0.57074,                0.48824,                0.26176,                0.77675,                 15.092,                0.94146,             0.00092278,             0.00092278,             0.00092278
                     81,                 1.7032,                 1.6128,                 1.7296,                 0.5189,                0.55315,                0.47524,                 0.2463,                0.87651,                 13.911,                 1.0059,             0.00092179,             0.00092179,             0.00092179
                     82,                 1.8099,                 2.0108,                 1.7621,                0.61998,                0.60782,                 0.5007,                0.28111,                0.97644,                   12.9,                0.98008,              0.0009208,              0.0009208,              0.0009208
                     83,                 1.6522,                 1.7366,                 1.6404,                0.64649,                 0.5737,                0.47638,                 0.2504,                 1.0504,                 10.961,                 1.0551,             0.00091981,             0.00091981,             0.00091981
                     84,                  1.687,                 1.7083,                  1.685,                0.57086,                0.53938,                0.45826,                 0.2511,                0.80145,                 10.464,                0.97398,             0.00091882,             0.00091882,             0.00091882
                     85,                 1.7159,                 1.7279,                 1.7565,                0.57001,                0.56734,                0.48007,                  0.264,                0.82915,                 6.4185,                 1.0025,             0.00091783,             0.00091783,             0.00091783
                     86,                 1.6596,                 1.6771,                 1.6936,                0.61668,                0.57531,                0.52018,                0.28103,                 0.7518,                 5.8677,                0.89805,             0.00091684,             0.00091684,             0.00091684
                     87,                 1.7544,                 1.7058,                 1.7145,                  0.647,                0.48688,                0.50597,                0.26445,                0.75374,                 7.6737,                0.90732,             0.00091585,             0.00091585,             0.00091585
                     88,                 1.6483,                 1.7301,                  1.662,                0.54961,                0.57028,                0.49602,                0.29939,                0.72982,                 14.373,                 0.8998,             0.00091486,             0.00091486,             0.00091486
                     89,                 1.6872,                  1.719,                 1.6653,                0.61973,                0.60932,                0.49736,                 0.2805,                0.75559,                 7.3301,                0.92459,             0.00091387,             0.00091387,             0.00091387
                     90,                 1.6317,                 1.6756,                 1.6382,                0.62021,                0.64913,                0.51142,                 0.2879,                0.74125,                 8.9285,                0.89362,             0.00091288,             0.00091288,             0.00091288
                     91,                  1.664,                 1.5998,                  1.673,                0.74382,                0.59692,                0.55222,                 0.2945,                0.78767,                 10.695,                0.93276,             0.00091189,             0.00091189,             0.00091189
                     92,                 1.5846,                 1.5638,                 1.6538,                0.66268,                0.50314,                0.51217,                0.25904,                0.87852,                 16.541,                0.97898,              0.0009109,              0.0009109,              0.0009109
                     93,                 1.6722,                  1.606,                 1.6241,                0.62471,                0.63287,                0.50992,                0.29861,                0.74184,                 11.957,                0.88951,             0.00090991,             0.00090991,             0.00090991
